State,StateCode,CountyCode,CountyName,
OH,39,1,Adams County,H1
OH,39,3,Allen County,H1
OH,39,5,Ashland County,H1
OH,39,7,Ashtabula County,H1
OH,39,9,Athens County,H1
OH,39,11,Auglaize County,H1
OH,39,13,Belmont County,H1
OH,39,15,Brown County,H1
OH,39,17,Butler County,H1
OH,39,19,Carroll County,H1
OH,39,21,Champaign County,H1
OH,39,23,Clark County,H1
OH,39,25,Clermont County,H1
OH,39,27,Clinton County,H1
OH,39,29,Columbiana County,H1
OH,39,31,Coshocton County,H1
OH,39,33,Crawford County,H1
OH,39,35,Cuyahoga County,H1
OH,39,37,Darke County,H1
OH,39,39,Defiance County,H1
OH,39,41,Delaware County,H1
OH,39,43,Erie County,H1
OH,39,45,Fairfield County,H1
OH,39,47,Fayette County,H1
OH,39,49,Franklin County,H1
OH,39,51,Fulton County,H1
OH,39,53,Gallia County,H1
OH,39,55,Geauga County,H1
OH,39,57,Greene County,H1
OH,39,59,Guernsey County,H1
OH,39,61,Hamilton County,H1
OH,39,63,Hancock County,H1
OH,39,65,Hardin County,H1
OH,39,67,Harrison County,H1
OH,39,69,Henry County,H1
OH,39,71,Highland County,H1
OH,39,73,Hocking County,H1
OH,39,75,Holmes County,H1
OH,39,77,Huron County,H1
OH,39,79,Jackson County,H1
OH,39,81,Jefferson County,H1
OH,39,83,Knox County,H1
OH,39,85,Lake County,H1
OH,39,87,Lawrence County,H1
OH,39,89,Licking County,H1
OH,39,91,Logan County,H1
OH,39,93,Lorain County,H1
OH,39,95,Lucas County,H1
OH,39,97,Madison County,H1
OH,39,99,Mahoning County,H1
OH,39,101,Marion County,H1
OH,39,103,Medina County,H1
OH,39,105,Meigs County,H1
OH,39,107,Mercer County,H1
OH,39,109,Miami County,H1
OH,39,111,Monroe County,H1
OH,39,113,Montgomery County,H1
OH,39,115,Morgan County,H1
OH,39,117,Morrow County,H1
OH,39,119,Muskingum County,H1
OH,39,121,Noble County,H1
OH,39,123,Ottawa County,H1
OH,39,125,Paulding County,H1
OH,39,127,Perry County,H1
OH,39,129,Pickaway County,H1
OH,39,131,Pike County,H1
OH,39,133,Portage County,H1
OH,39,135,Preble County,H1
OH,39,137,Putnam County,H1
OH,39,139,Richland County,H1
OH,39,141,Ross County,H1
OH,39,143,Sandusky County,H1
OH,39,145,Scioto County,H1
OH,39,147,Seneca County,H1
OH,39,149,Shelby County,H1
OH,39,151,Stark County,H1
OH,39,153,Summit County,H1
OH,39,155,Trumbull County,H1
OH,39,157,Tuscarawas County,H1
OH,39,159,Union County,H1
OH,39,161,Van Wert County,H1
OH,39,163,Vinton County,H1
OH,39,165,Warren County,H1
OH,39,167,Washington County,H1
OH,39,169,Wayne County,H1
OH,39,171,Williams County,H1
OH,39,173,Wood County,H1
OH,39,175,Wyandot County,H1