OBJECTID,PLAN,DATE_ADOPT,LAND_USE,USE_CLASS,DSGN_GUIDE,URL,LAST_EDIT_DATE,ASP,C2P2_STATUS
455,South Central Accord,1997-07-21T00:00:00.000Z,Excavation/Quarrying,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
456,South Central Accord,1997-07-21T00:00:00.000Z,High-Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
457,South Central Accord,1997-07-21T00:00:00.000Z,Industrial,Industrial,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
458,South Central Accord,1997-07-21T00:00:00.000Z,Light Industrial,Industrial,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
459,South Central Accord,1997-07-21T00:00:00.000Z,Commercial,Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
460,South Central Accord,1997-07-21T00:00:00.000Z,Low-Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
462,South Central Accord,1997-07-21T00:00:00.000Z,Mixed Use Village,Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
3039,Downtown Design Guidelines,2013-07-15T00:00:00.000Z,No adopted land use plan in place,Please refer to plan document,Yes,http://www.columbus.gov/planning/documentlibrary/,2015-12-21T00:00:00.000Z,,
441,Scioto Southland Plan,2007-10-22T00:00:00.000Z,Open Space,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
442,Scioto Southland Plan,2007-10-22T00:00:00.000Z,Parks,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
443,Scioto Southland Plan,2007-10-22T00:00:00.000Z,Commercial,Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
445,Scioto Southland Plan,2007-10-22T00:00:00.000Z,Multi-family (12-16 du/acre),Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
446,Scioto Southland Plan,2007-10-22T00:00:00.000Z,Mixed Use Regional,Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
447,Scioto Southland Plan,2007-10-22T00:00:00.000Z,Office,Office,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
448,Scioto Southland Plan,2007-10-22T00:00:00.000Z,Institutional,Institutional,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
449,Scioto Southland Plan,2007-10-22T00:00:00.000Z,Mixed Use Community Commercial,Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
450,Scioto Southland Plan,2007-10-22T00:00:00.000Z,Farm/Rural,Agriculture,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
451,Scioto Southland Plan,2007-10-22T00:00:00.000Z,Single-Family (6-8 du/acre),Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
452,Scioto Southland Plan,2007-10-22T00:00:00.000Z,Single-Family (1-2 du/acre),Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
453,Scioto Southland Plan,2007-10-22T00:00:00.000Z,Single Family (4-6 du/acre),Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
454,Scioto Southland Plan,2007-10-22T00:00:00.000Z,Railroad,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
424,Southwest Area Plan,2009-03-02T00:00:00.000Z,Neighborhood Commercial,Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:46:57.000Z,,Early Adoption
425,Southwest Area Plan,2009-03-02T00:00:00.000Z,Medium-Low Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:46:57.000Z,,Early Adoption
427,Southwest Area Plan,2009-03-02T00:00:00.000Z,Institutional,Institutional,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:46:57.000Z,,Early Adoption
428,Southwest Area Plan,2009-03-02T00:00:00.000Z,Landfills and Quarries,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:46:57.000Z,,Early Adoption
429,Southwest Area Plan,2009-03-02T00:00:00.000Z,Open Space Stream Buffer,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:46:57.000Z,,Early Adoption
3034,Westland Area Plan,1994-02-14T00:00:00.000Z,Institutional,Institutional,No,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:46:02.000Z,,Early Adoption
1110,Olentangy West Area Plan,2013-09-23T00:00:00.000Z,Low-Medium Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2013-10-16T00:00:00.000Z,,
546,Trabue/Roberts Area Plan,2011-02-28T00:00:00.000Z,Low-Medium Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
1119,Olentangy West Area Plan,2013-09-23T00:00:00.000Z,Institutional,Institutional,Yes,http://www.columbus.gov/planning/documentlibrary/,2013-10-16T00:00:00.000Z,,
1120,Olentangy West Area Plan,2013-09-23T00:00:00.000Z,Low Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2013-10-16T00:00:00.000Z,,
548,Trabue/Roberts Area Plan,2011-02-28T00:00:00.000Z,Medium-High Density Mixed Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
549,Trabue/Roberts Area Plan,2011-02-28T00:00:00.000Z,Mixed Use (Community),Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
550,Trabue/Roberts Area Plan,2011-02-28T00:00:00.000Z,Mixed Use (Neighborhood),Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
551,Trabue/Roberts Area Plan,2011-02-28T00:00:00.000Z,Office,Office,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
552,Trabue/Roberts Area Plan,2011-02-28T00:00:00.000Z,Open Space,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
553,Trabue/Roberts Area Plan,2011-02-28T00:00:00.000Z,Parks & Recreation,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
554,Trabue/Roberts Area Plan,2011-02-28T00:00:00.000Z,Quarry Reuse,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
3349,The Northwest Plan,2016-12-05T00:00:00.000Z,Site A,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2016-12-08T10:10:22.000Z,,
3350,The Northwest Plan,2016-12-05T00:00:00.000Z,Utilities and Rail Roads,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2016-12-08T10:10:19.000Z,,
3351,The Northwest Plan,2016-12-05T00:00:00.000Z,Commercial (Community),Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2016-12-08T10:10:59.000Z,,
3352,The Northwest Plan,2016-12-05T00:00:00.000Z,Industrial and Warehouse,Industrial,Yes,http://www.columbus.gov/planning/documentlibrary/,2016-12-08T10:11:40.000Z,,
3353,The Northwest Plan,2016-12-05T00:00:00.000Z,Office,Office,Yes,http://www.columbus.gov/planning/documentlibrary/,2016-12-08T10:10:39.000Z,,
3354,The Northwest Plan,2016-12-05T00:00:00.000Z,Institutional,Institutional,Yes,http://www.columbus.gov/planning/documentlibrary/,2016-12-08T10:11:27.000Z,,
398,Greater Hilltop Plan,2010-09-27T00:00:00.000Z,Medium Density Mixed,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
3355,The Northwest Plan,2016-12-05T00:00:00.000Z,Mixed Use 1,Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2016-12-08T10:10:47.000Z,,
3356,The Northwest Plan,2016-12-05T00:00:00.000Z,Low-Medium Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2016-12-23T09:38:39.000Z,,
3357,The Northwest Plan,2016-12-05T00:00:00.000Z,High Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2016-12-08T10:11:06.000Z,,
3358,The Northwest Plan,2016-12-05T00:00:00.000Z,Medium Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2016-12-08T10:11:20.000Z,,
3361,The Northwest Plan,2016-12-05T00:00:00.000Z,Parks and Recreation,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2016-12-08T10:10:04.000Z,,
3362,The Northwest Plan,2016-12-05T00:00:00.000Z,Low Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2016-12-23T09:38:39.000Z,,
399,Greater Hilltop Plan,2010-09-27T00:00:00.000Z,Low-Medium Density,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
400,Greater Hilltop Plan,2010-09-27T00:00:00.000Z,Mixed Use,Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
401,Greater Hilltop Plan,2010-09-27T00:00:00.000Z,Industrial (Light),Industrial,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
402,Greater Hilltop Plan,2010-09-27T00:00:00.000Z,Med-High Density Mixed,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
403,Greater Hilltop Plan,2010-09-27T00:00:00.000Z,Institutional,Institutional,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
404,Greater Hilltop Plan,2010-09-27T00:00:00.000Z,Commercial (Community),Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
405,Greater Hilltop Plan,2010-09-27T00:00:00.000Z,Mixed Use - Community,Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
406,Greater Hilltop Plan,2010-09-27T00:00:00.000Z,Parks,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
3359,The Northwest Plan,2016-12-05T00:00:00.000Z,Outside of Plan Scope,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2016-12-08T10:10:29.000Z,,
3360,The Northwest Plan,2016-12-05T00:00:00.000Z,Medium-High Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2016-12-08T10:11:17.000Z,,
3363,The Northwest Plan,2016-12-05T00:00:00.000Z,Mixed Use 2,Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2016-12-08T10:10:49.000Z,,
3364,The Northwest Plan,2016-12-05T00:00:00.000Z,Private Open Space,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2016-12-08T10:10:07.000Z,,
3669,The Northwest Plan,2016-12-05T00:00:00.000Z,Low Density Residential - Site B,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2016-12-23T09:39:54.000Z,,
408,Greater Hilltop Plan,2010-09-27T00:00:00.000Z,Very High Density,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
409,Greater Hilltop Plan,2010-09-27T00:00:00.000Z,Agriculture,Agriculture,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
410,Greater Hilltop Plan,2010-09-27T00:00:00.000Z,Mixed Use - Regional,Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
411,Greater Hilltop Plan,2010-09-27T00:00:00.000Z,Warehouse/Flex Office,Industrial,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
412,Greater Hilltop Plan,2010-09-27T00:00:00.000Z,Open Space,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
413,Greater Hilltop Plan,2010-09-27T00:00:00.000Z,Commercial (Neighborhood),Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
414,Greater Hilltop Plan,2010-09-27T00:00:00.000Z,Utilities and Rail Roads,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
415,Greater Hilltop Plan,2010-09-27T00:00:00.000Z,High Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
416,Greater Hilltop Plan,2010-09-27T00:00:00.000Z,Employment Center,Employment Center,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
418,Southwest Area Plan,2009-03-02T00:00:00.000Z,Low Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:46:57.000Z,,Early Adoption
421,Southwest Area Plan,2009-03-02T00:00:00.000Z,Industrial,Industrial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:46:57.000Z,,Early Adoption
420,Southwest Area Plan,2009-03-02T00:00:00.000Z,Community Commercial,Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:46:57.000Z,,Early Adoption
422,Southwest Area Plan,2009-03-02T00:00:00.000Z,Open Space,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:46:57.000Z,,Early Adoption
423,Southwest Area Plan,2009-03-02T00:00:00.000Z,Light Industrial,Industrial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:46:57.000Z,,Early Adoption
592,5th by Northwest Area Plan,2009-03-02T00:00:00.000Z,Commercial (Community),Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:44:11.000Z,,Early Adoption
593,5th by Northwest Area Plan,2009-03-02T00:00:00.000Z,Office,Office,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:44:11.000Z,,Early Adoption
595,Harrison West Plan,2005-09-12T00:00:00.000Z,One and Two Family,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:51:53.000Z,,Early Adoption
596,Harrison West Plan,2005-09-12T00:00:00.000Z,Townhomes,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:51:53.000Z,,Early Adoption
597,Harrison West Plan,2005-09-12T00:00:00.000Z,Greenspace/Parkland,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:51:53.000Z,,Early Adoption
598,Harrison West Plan,2005-09-12T00:00:00.000Z,Parkland Acquisition,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:51:53.000Z,,Early Adoption
599,Harrison West Plan,2005-09-12T00:00:00.000Z,Neighborhood Retail,Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:51:53.000Z,,Early Adoption
600,Harrison West Plan,2005-09-12T00:00:00.000Z,Battelle,Industrial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:51:53.000Z,,Early Adoption
601,Harrison West Plan,2005-09-12T00:00:00.000Z,Mix-Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:51:53.000Z,,Early Adoption
602,Harrison West Plan,2005-09-12T00:00:00.000Z,Office/Commercial,Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:51:53.000Z,,Early Adoption
604,Harrison West Plan,2005-09-12T00:00:00.000Z,Possible Parkland,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:51:53.000Z,,Early Adoption
605,Milo-Grogan Neighborhood Plan,2007-04-09T00:00:00.000Z,Utiility & City Owned,Other,No,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:49:19.000Z,,Early Adoption
606,Milo-Grogan Neighborhood Plan,2007-04-09T00:00:00.000Z,Light Industrial,Industrial,No,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:49:19.000Z,,Early Adoption
665,Italian Village East Redevelopment Plan,2000-11-20T00:00:00.000Z,Residential (1-2 Units),Residential,No,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
666,Italian Village East Redevelopment Plan,2000-11-20T00:00:00.000Z,Commercial,Commercial,No,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
561,Clintonville Area Plan,2009-03-02T00:00:00.000Z,Commercial (Neighborhood),Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
574,Interim Hayden Run Corridor Plan,2004-06-14T00:00:00.000Z,Community Center/School,Institutional,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:50:58.000Z,,Early Adoption
603,Harrison West Plan,2005-09-12T00:00:00.000Z,Office,Office,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:51:53.000Z,,Early Adoption
667,Italian Village East Redevelopment Plan,2000-11-20T00:00:00.000Z,Mixed Use,Mixed Use,No,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
668,Italian Village East Redevelopment Plan,2000-11-20T00:00:00.000Z,Residential (3-4 Units),Residential,No,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
669,Italian Village East Redevelopment Plan,2000-11-20T00:00:00.000Z,Residential (>4 Units),Residential,No,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
555,Trabue/Roberts Area Plan,2011-02-28T00:00:00.000Z,Utilities and Railroads,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
557,Clintonville Area Plan,2009-03-02T00:00:00.000Z,Commercial (Auto-Related),Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
558,Clintonville Area Plan,2009-03-02T00:00:00.000Z,Rail,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
559,Clintonville Area Plan,2009-03-02T00:00:00.000Z,Multifamily,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
560,Clintonville Area Plan,2009-03-02T00:00:00.000Z,Commercial (Community),Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
562,Clintonville Area Plan,2009-03-02T00:00:00.000Z,Institutional,Institutional,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
563,Clintonville Area Plan,2009-03-02T00:00:00.000Z,Mixed Use,Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
564,Clintonville Area Plan,2009-03-02T00:00:00.000Z,Open Space,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
565,Clintonville Area Plan,2009-03-02T00:00:00.000Z,Office,Office,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
567,Clintonville Area Plan,2009-03-02T00:00:00.000Z,Single Family,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
568,Clintonville Area Plan,2009-03-02T00:00:00.000Z,Two-Three Family,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
569,Interim Hayden Run Corridor Plan,2004-06-14T00:00:00.000Z,Office,Office,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:50:58.000Z,,Early Adoption
570,Interim Hayden Run Corridor Plan,2004-06-14T00:00:00.000Z,Park,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:50:58.000Z,,Early Adoption
571,Interim Hayden Run Corridor Plan,2004-06-14T00:00:00.000Z,Neighborhood Commercial,Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:50:58.000Z,,Early Adoption
572,Interim Hayden Run Corridor Plan,2004-06-14T00:00:00.000Z,Neighborhood Center,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:50:58.000Z,,Early Adoption
573,Interim Hayden Run Corridor Plan,2004-06-14T00:00:00.000Z,Community Commercial,Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:50:58.000Z,,Early Adoption
575,Interim Hayden Run Corridor Plan,2004-06-14T00:00:00.000Z,Transit Oriented Dev.,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:50:58.000Z,,Early Adoption
576,Interim Hayden Run Corridor Plan,2004-06-14T00:00:00.000Z,Low Density Cluster,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:50:58.000Z,,Early Adoption
578,Interim Hayden Run Corridor Plan,2004-06-14T00:00:00.000Z,Neighborhood General,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:50:58.000Z,,Early Adoption
579,Interim Hayden Run Corridor Plan,2004-06-14T00:00:00.000Z,Neighborhood Edge,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:50:58.000Z,,Early Adoption
580,Interim Hayden Run Corridor Plan,2004-06-14T00:00:00.000Z,Existing Park,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:50:58.000Z,,Early Adoption
581,Interim Hayden Run Corridor Plan,2004-06-14T00:00:00.000Z,Existing Public Facilities,Institutional,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:50:58.000Z,,Early Adoption
582,Interim Hayden Run Corridor Plan,2004-06-14T00:00:00.000Z,Cluster Development,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:50:58.000Z,,Early Adoption
584,Interim Hayden Run Corridor Plan,2004-06-14T00:00:00.000Z,Existing Commercial,Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:50:58.000Z,,Early Adoption
585,Interim Hayden Run Corridor Plan,2004-06-14T00:00:00.000Z,Existing Multi-Family,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:50:58.000Z,,Early Adoption
586,Interim Hayden Run Corridor Plan,2004-06-14T00:00:00.000Z,Hayden Run Buffer,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:50:58.000Z,,Early Adoption
587,5th by Northwest Area Plan,2009-03-02T00:00:00.000Z,Industrial (Light),Industrial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:44:11.000Z,,Early Adoption
588,5th by Northwest Area Plan,2009-03-02T00:00:00.000Z,Medium Density Mixed Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:44:11.000Z,,Early Adoption
589,5th by Northwest Area Plan,2009-03-02T00:00:00.000Z,Single/ Two Family,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:44:11.000Z,,Early Adoption
590,5th by Northwest Area Plan,2009-03-02T00:00:00.000Z,Multifamily,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:44:11.000Z,,Early Adoption
591,5th by Northwest Area Plan,2009-03-02T00:00:00.000Z,Mixed Use,Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:44:11.000Z,,Early Adoption
4035,Far East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Mixed Use 2 (24-45 du/ac),Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:20:50.000Z,1,Complete Adoption
