OBJECTID,PLAN,DATE_ADOPT,LAND_USE,USE_CLASS,DSGN_GUIDE,URL,LAST_EDIT_DATE,ASP,C2P2_STATUS
478,South Alum Creek Neighborhood Plan,2004-11-08T00:00:00.000Z,Multi-Family Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
479,South Alum Creek Neighborhood Plan,2004-11-08T00:00:00.000Z,Single-Family Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
480,South Alum Creek Neighborhood Plan,2004-11-08T00:00:00.000Z,Metropark,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
481,South Alum Creek Neighborhood Plan,2004-11-08T00:00:00.000Z,Rural Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
482,South Alum Creek Neighborhood Plan,2004-11-08T00:00:00.000Z,"Institutional, Office, and Warehouse",Employment Center,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
532,North Central Plan,2002-05-06T00:00:00.000Z,Light Manufacturing,Industrial,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
736,Port Columbus Joint Economic Development Strategy,2008-05-05T00:00:00.000Z,Office,Office,No,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
738,Port Columbus Joint Economic Development Strategy,2008-05-05T00:00:00.000Z,Open Space,Parks/Open Space,No,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
740,Port Columbus Joint Economic Development Strategy,2008-05-05T00:00:00.000Z,Utilities and Rail Roads,Other,No,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
741,Port Columbus Joint Economic Development Strategy,2008-05-05T00:00:00.000Z,Airport,Other,No,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
3365,The Northwest Plan,2016-12-05T00:00:00.000Z,Open Space,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2016-12-08T10:10:01.000Z,,
744,Near Southside Plan,2011-09-19T00:00:00.000Z,Commercial (Community),Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T10:33:50.000Z,,Early Adoption
745,Near Southside Plan,2011-09-19T00:00:00.000Z,Commercial (Neighborhood),Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T10:04:32.000Z,,Early Adoption
746,Near Southside Plan,2011-09-19T00:00:00.000Z,Employment Center,Employment Center,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T10:04:32.000Z,,Early Adoption
747,Near Southside Plan,2011-09-19T00:00:00.000Z,Industrial (Light),Industrial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T10:04:32.000Z,,Early Adoption
748,Near Southside Plan,2011-09-19T00:00:00.000Z,Institutional,Institutional,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T10:33:55.000Z,,Early Adoption
749,Near Southside Plan,2011-09-19T00:00:00.000Z,Medium-High Density Mixed Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T10:04:32.000Z,,Early Adoption
750,Near Southside Plan,2011-09-19T00:00:00.000Z,Medium Density Mixed Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T10:04:32.000Z,,Early Adoption
751,Near Southside Plan,2011-09-19T00:00:00.000Z,Mixed Use (Community),Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T10:04:32.000Z,,Early Adoption
752,Near Southside Plan,2011-09-19T00:00:00.000Z,Mixed Use (Neighborhood),Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T10:04:32.000Z,,Early Adoption
754,Near Southside Plan,2011-09-19T00:00:00.000Z,Parks,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T10:04:32.000Z,,Early Adoption
755,Near Southside Plan,2011-09-19T00:00:00.000Z,Utilities and Railroads,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T10:33:58.000Z,,Early Adoption
756,Near Southside Plan,2011-09-19T00:00:00.000Z,Vacant,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T10:33:52.000Z,,Early Adoption
757,Near Southside Plan,2011-09-19T00:00:00.000Z,Warehouse Flex,Industrial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T10:04:32.000Z,,Early Adoption
4028,South Linden Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Industrial and Warehouse,Industrial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:21:33.000Z,,Complete Adoption
4029,Far East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Industrial and Warehouse,Industrial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:20:50.000Z,,Complete Adoption
4030,South Linden Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Institutional,Institutional,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:21:33.000Z,3,Complete Adoption
4031,Far East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Parking,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:20:50.000Z,,Complete Adoption
4032,Far East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Parks and Recreation,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:20:50.000Z,,Complete Adoption
4033,South East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Low–Medium Density Residential (6-10 du/ac),Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-10-04T16:35:28.000Z,1,Complete Adoption
4034,South Linden Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Private Open Space,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:21:33.000Z,4,Complete Adoption
3989,South Linden Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Private Open Space,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:21:33.000Z,3,Complete Adoption
3990,Far East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Commercial,Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:20:50.000Z,1,Complete Adoption
3992,Far East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Medium Density Residential (10-16 du/ac),Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:20:50.000Z,,Complete Adoption
3993,Far East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Employment Center,Employment Center,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:20:50.000Z,4,Complete Adoption
3994,South East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Parks and Recreation,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:22:21.000Z,,Complete Adoption
3995,Far East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Medium–High Density Residential (16-24 du/ac),Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:20:50.000Z,,Complete Adoption
4001,South East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Private Open Space,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:22:21.000Z,,Complete Adoption
4002,South Linden Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Utilities and Railroads,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:21:33.000Z,,Complete Adoption
4003,Far East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Open Space,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:20:50.000Z,,Complete Adoption
4004,Far East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Agriculture,Agriculture,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:20:50.000Z,,Complete Adoption
4005,South East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Mixed Use 1 (<24 du/ac),Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-10-04T16:36:07.000Z,"1, 2",Complete Adoption
4006,Far East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Low Density Residential (4-6 du/ac),Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:20:50.000Z,,Complete Adoption
4007,South East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Very Low Density Residential (<4 du/ac),Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-10-04T16:36:43.000Z,,Complete Adoption
4008,South Linden Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Low–Medium Density Residential (6-10 du/ac),Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-10-04T16:35:25.000Z,,Complete Adoption
504,Hamilton Road Corridor Revitalization Plan,2008-05-05T00:00:00.000Z,Conservation,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:57:34.000Z,,Early Adoption
505,Hamilton Road Corridor Revitalization Plan,2008-05-05T00:00:00.000Z,Office/Research,Employment Center,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:57:34.000Z,,Early Adoption
506,Hamilton Road Corridor Revitalization Plan,2008-05-05T00:00:00.000Z,Hospitality/Attraction,Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:57:34.000Z,,Early Adoption
507,Hamilton Road Corridor Revitalization Plan,2008-05-05T00:00:00.000Z,Single Family/Two Family Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:57:34.000Z,,Early Adoption
508,Hamilton Road Corridor Revitalization Plan,2008-05-05T00:00:00.000Z,Mixed Use,Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:57:34.000Z,,Early Adoption
509,Hamilton Road Corridor Revitalization Plan,2008-05-05T00:00:00.000Z,Industrial/Warehouse,Industrial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:57:34.000Z,,Early Adoption
510,Hamilton Road Corridor Revitalization Plan,2008-05-05T00:00:00.000Z,Commercial/Personal Business Services,Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:57:34.000Z,,Early Adoption
511,Hamilton Road Corridor Revitalization Plan,2008-05-05T00:00:00.000Z,Institution,Institutional,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:57:34.000Z,,Early Adoption
512,Hamilton Road Corridor Revitalization Plan,2008-05-05T00:00:00.000Z,Parks,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:57:34.000Z,,Early Adoption
533,North Central Plan,2002-05-06T00:00:00.000Z,Cemetery,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
534,North Central Plan,2002-05-06T00:00:00.000Z,Parkland,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
535,North Central Plan,2002-05-06T00:00:00.000Z,Office/Light Manufacturing,Employment Center,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
536,North Central Plan,2002-05-06T00:00:00.000Z,Neighborhood Commercial Services,Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
537,North Central Plan,2002-05-06T00:00:00.000Z,Public/Institutional,Institutional,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
538,North Central Plan,2002-05-06T00:00:00.000Z,Open Space,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
539,Trabue/Roberts Area Plan,2011-02-28T00:00:00.000Z,Commercial (Community),Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
483,South Alum Creek Neighborhood Plan,2004-11-08T00:00:00.000Z,Manufacturing and Industrial,Industrial,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
484,South Alum Creek Neighborhood Plan,2004-11-08T00:00:00.000Z,Institutional,Institutional,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
485,South Alum Creek Neighborhood Plan,2004-11-08T00:00:00.000Z,Landfill,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
486,South Alum Creek Neighborhood Plan,2004-11-08T00:00:00.000Z,Cemetery,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
1774,McKinley Avenue Corridor Plan,2002-09-04T00:00:00.000Z,No adopted land use plan in place,Please refer to plan document,No,http://www.columbus.gov/planning/documentlibrary/,2018-10-05T09:38:48.000Z,,
1749,South Side Plan,2014-06-09T00:00:00.000Z,Neighborhood Commercial,Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:54:10.000Z,,Early Adoption
1750,North Linden Neighborhood Plan Amendment,2014-06-09T00:00:00.000Z,Institutional,Institutional,YES,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:48:40.000Z,,Early Adoption
493,Livingston East Area Plan,2009-09-21T00:00:00.000Z,Residential (Single-Family),Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:57:09.000Z,,Early Adoption
494,Livingston East Area Plan,2009-09-21T00:00:00.000Z,Commercial (Community),Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:57:09.000Z,,Early Adoption
496,Livingston East Area Plan,2009-09-21T00:00:00.000Z,Institutional,Institutional,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:57:09.000Z,,Early Adoption
497,Livingston East Area Plan,2009-09-21T00:00:00.000Z,Light Manufacturing,Industrial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:57:09.000Z,,Early Adoption
498,Livingston East Area Plan,2009-09-21T00:00:00.000Z,Mixed Use,Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:57:09.000Z,,Early Adoption
499,Livingston East Area Plan,2009-09-21T00:00:00.000Z,Office,Office,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:57:09.000Z,,Early Adoption
4309,C2P2 Early Adoption,2018-07-16T00:00:00.000Z,No adopted land use plan in place,Please refer to plan document,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:52:45.000Z,,Early Adoption
4310,C2P2 Early Adoption,2018-07-16T00:00:00.000Z,No adopted land use plan in place,Please refer to plan document,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:52:45.000Z,,Early Adoption
4311,C2P2 Early Adoption,2018-07-16T00:00:00.000Z,No adopted land use plan in place,Please refer to plan document,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:52:45.000Z,,Early Adoption
500,Livingston East Area Plan,2009-09-21T00:00:00.000Z,Open Space,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:57:09.000Z,,Early Adoption
501,Livingston East Area Plan,2009-09-21T00:00:00.000Z,Parks,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:57:09.000Z,,Early Adoption
502,Livingston East Area Plan,2009-09-21T00:00:00.000Z,Residential (Two- and Three-Family),Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:57:09.000Z,,Early Adoption
503,Livingston East Area Plan,2009-09-21T00:00:00.000Z,Residential (Multifamily),Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:57:09.000Z,,Early Adoption
4312,C2P2 Early Adoption,2018-07-16T00:00:00.000Z,No adopted land use plan in place,Please refer to plan document,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:52:45.000Z,,Early Adoption
4313,C2P2 Early Adoption,2018-07-16T00:00:00.000Z,No adopted land use plan in place,Please refer to plan document,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:52:45.000Z,,Early Adoption
4314,C2P2 Early Adoption,2018-07-16T00:00:00.000Z,No adopted land use plan in place,Please refer to plan document,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:52:45.000Z,,Early Adoption
4315,C2P2 Early Adoption,2018-07-16T00:00:00.000Z,No adopted land use plan in place,Please refer to plan document,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:52:45.000Z,,Early Adoption
4316,C2P2 Early Adoption,2018-07-16T00:00:00.000Z,No adopted land use plan in place,Please refer to plan document,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:52:45.000Z,,Early Adoption
4317,C2P2 Early Adoption,2018-07-16T00:00:00.000Z,No adopted land use plan in place,Please refer to plan document,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:52:45.000Z,,Early Adoption
463,South Central Accord,1997-07-21T00:00:00.000Z,Agricultural/Open Space,Agriculture,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
464,South Central Accord,1997-07-21T00:00:00.000Z,Public/Semi-Public,Institutional,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
465,South Central Accord,1997-07-21T00:00:00.000Z,Greenway,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
466,South Central Accord,1997-07-21T00:00:00.000Z,Water,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
467,Tri-South Neighborhood Plan,2004-02-04T00:00:00.000Z,Single-Family Residential,Residential,No,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
469,Tri-South Neighborhood Plan,2004-02-04T00:00:00.000Z,Office Commercial,Commercial,No,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
470,Tri-South Neighborhood Plan,2004-02-04T00:00:00.000Z,Mixed Use,Mixed Use,No,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
471,Tri-South Neighborhood Plan,2004-02-04T00:00:00.000Z,Institutional,Institutional,No,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
472,Tri-South Neighborhood Plan,2004-02-04T00:00:00.000Z,Redevelopment Priorities,Other,No,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
417,Southwest Area Plan,2009-03-02T00:00:00.000Z,Office,Office,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:46:57.000Z,,Early Adoption
547,Trabue/Roberts Area Plan,2011-02-28T00:00:00.000Z,Medium Density Mixed Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
610,Milo-Grogan Neighborhood Plan,2007-04-09T00:00:00.000Z,Commercial/Multi-Family,Mixed Use,No,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:49:19.000Z,,Early Adoption
618,Rocky Fork - Blacklick Accord,2003-12-15T00:00:00.000Z,Rural Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
626,Rocky Fork - Blacklick Accord,2003-12-15T00:00:00.000Z,Park/Open Space,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
636,Big Darby Accord Watershed Master Plan,2006-07-31T00:00:00.000Z,EC Protected,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
4010,Far East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Office,Office,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:20:50.000Z,,Complete Adoption
739,Port Columbus Joint Economic Development Strategy,2008-05-05T00:00:00.000Z,Residential,Residential,No,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
753,Near Southside Plan,2011-09-19T00:00:00.000Z,Open Space,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T10:04:32.000Z,,Early Adoption
4011,Far East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Mixed Use 1 (<24 du/ac),Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:20:50.000Z,1,Complete Adoption
468,Tri-South Neighborhood Plan,2004-02-04T00:00:00.000Z,Light Industrial,Industrial,No,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
773,East Columbus Neighborhood Plan,2012-04-23T00:00:00.000Z,Neighborhood Mixed Use,Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-05-09T00:00:00.000Z,,
513,Hamilton Road Corridor Revitalization Plan,2008-05-05T00:00:00.000Z,Multi-Family Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:57:34.000Z,,Early Adoption
514,Northeast Area Plan,2007-07-16T00:00:00.000Z,Mixed Use-Regional Retail/Office/Light Industrial,Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
515,Northeast Area Plan,2007-07-16T00:00:00.000Z,Open Space,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
516,Northeast Area Plan,2007-07-16T00:00:00.000Z,Parks,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
517,Northeast Area Plan,2007-07-16T00:00:00.000Z,Neighborhood Commercial,Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
518,Northeast Area Plan,2007-07-16T00:00:00.000Z,Airport Related,Institutional,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
519,Northeast Area Plan,2007-07-16T00:00:00.000Z,Low Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
520,Northeast Area Plan,2007-07-16T00:00:00.000Z,Mixed Use Neighborhood Center,Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
521,Northeast Area Plan,2007-07-16T00:00:00.000Z,Office,Office,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
522,Northeast Area Plan,2007-07-16T00:00:00.000Z,Institutional,Institutional,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
523,Northeast Area Plan,2007-07-16T00:00:00.000Z,Office-Light Industrial,Employment Center,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
524,Northeast Area Plan,2007-07-16T00:00:00.000Z,High Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
525,Northeast Area Plan,2007-07-16T00:00:00.000Z,Medium Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
526,Northeast Area Plan,2007-07-16T00:00:00.000Z,Very Low Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
527,Northeast Area Plan,2007-07-16T00:00:00.000Z,Office-Commercial-Light Industrial,Employment Center,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
